"Отметка времени","Итоговая оценка за экзамен по ТОЭ","С какого раза вы сдали экзамен по ТОЭ (если улучшали оценку, так же указать с какого раза получили желаемую оценку)","Регулярность посещения занятий. Оцените процент занятий, которые посетили в последнем семетре по ТОЭ (лекции+практика)?","Оценка по физике в школе","Оценка по физике в последнем семестре?","Оценка за ИДЗ по ТОЭ за семестр ","Оценка по лабораторным ТОЭ","Вели конспект по занятиям? (лекции и/или практики)","Выходили к доске на практике?","Оценка за последнюю контрольную работу по ТОЭ","В течении предыдущего семестра были трудоустроены и/или проходили стажировку?","Если работали/проходили стажировку, то какая ставка (загрузка):","Где проживаете?","Есть кот дома? (в месте, где сейчас живете)","Есть родной брат/сестра?","Гражданство","Сколько в среднем играли в прошлом семестре? Укажите число в часах","Была ли стипендия в 3 семестре?","Оцените свое ментальное здоровье в прошлом семестре","Оцените, насколько были истощены (уставши) к началу сессии"
"2024/09/30 11:51:10 PM GMT+3","5","1","75","5","5","5","5","да","да","5","нет","0","общежитие 8","нет","да","KAZ","10","да","9","1"
"2024/09/30 11:53:32 PM GMT+3","3","1","75","4","5","4","5","да","нет","3","нет","0","дома","нет","да","RUS","20","нет","7","6"
"2024/09/30 11:53:33 PM GMT+3","3","1","75","5","4","5","5","да","нет","5","да","0.25","дома","да","да","RUS","168","да","7","3"
"2024/09/30 11:57:50 PM GMT+3","3","1","75","5","4","4","4","нет","нет","4","да","0.5","общежитие 8","нет","да","KAZ","18","нет","7","2"
"2024/09/30 11:59:56 PM GMT+3","4","1","100","4","3","4","5","нет","нет","5","нет","","дома","нет","да","RUS","20","нет","10","5"
"2024/10/01 12:00:03 AM GMT+3","3","1","75","4","3","3","5","да","нет","3","да","0.5","дома","нет","нет","RUS","2","нет","4","8"
"2024/10/01 12:01:01 AM GMT+3","3","2","25","3","3","3","3","нет","нет","3","да","0.5","дома","да","да","RUS","1","нет","1","8"
"2024/10/01 12:07:44 AM GMT+3","3","1","25","5","3","5","5","нет","да","5","нет","0","Общежитие 7","нет","да","BLR","2","нет","10","0"
"2024/10/01 12:15:24 AM GMT+3","","","0","5","3","","","нет","нет","4","нет","0","общежитие 8","нет","да","KAZ","2 часа в день","нет","10","2"
"2024/10/01 12:19:08 AM GMT+3","5","1","50","5","5","5","5","да","да","5","нет","0","дома","нет","нет","KAZ","6-10 в день))","да","6","8"
